0,1,2,3,4,5,6,7,8,9
0,-0.018881037831306458,-0.01590246520936489,-0.014302141033113003,-0.01408330723643303,-0.010112370364367962,0.000323264830512926,0.003483104519546032,0.010770721361041069,0.012984982691705227,0.033824607729911804
1,-0.017329318448901176,-0.016886282712221146,-0.014861194416880608,-0.013434220105409622,-0.01047232560813427,-0.005070740822702646,0.002997349016368389,0.010323639959096909,0.015004252083599567,0.037834204733371735
2,-0.017884839326143265,-0.016189085319638252,-0.015186995267868042,-0.014407187700271606,-0.011531732976436615,-0.006574943661689758,0.002531474456191063,0.0111261997371912,0.015755783766508102,0.04046669974923134
3,-0.01800532452762127,-0.016660120338201523,-0.01493299100548029,-0.014908012002706528,-0.012463566847145557,-0.009301690384745598,0.0025023657362908125,0.011075121350586414,0.016895774751901627,0.04390384256839752
4,-0.017136674374341965,-0.01566307619214058,-0.014930382370948792,-0.014571365900337696,-0.014002561569213867,-0.010977818630635738,0.003303307807072997,0.010896818712353706,0.01616072840988636,0.04502648860216141
5,-0.01679396815598011,-0.016531169414520264,-0.015594416297972202,-0.014446081593632698,-0.013812924735248089,-0.012962164357304573,0.0020416334737092257,0.011187217198312283,0.017610199749469757,0.04740716889500618
6,-0.017190467566251755,-0.016705716028809547,-0.01668551377952099,-0.015041294507682323,-0.014238708652555943,-0.01368503738194704,0.0026062678080052137,0.011816664598882198,0.019404718652367592,0.04782456159591675
7,-0.01746653951704502,-0.016696186736226082,-0.016132807359099388,-0.01527688279747963,-0.014903213828802109,-0.014050450176000595,0.0026114359498023987,0.011958206072449684,0.01896069385111332,0.04910121113061905
8,-0.018143847584724426,-0.017749987542629242,-0.015769802033901215,-0.015520705841481686,-0.014771593734622002,-0.013810500502586365,0.002728629857301712,0.012324362061917782,0.019505728036165237,0.04931316152215004
9,-0.01841059885919094,-0.018277738243341446,-0.017343806102871895,-0.015944257378578186,-0.014748743735253811,-0.014083987101912498,0.003396794432774186,0.012565535493195057,0.020260827615857124,0.05069141089916229
